seq	tier	position	path	sha256_manifest	sha256_actual	sha_state	exec_state
1	ef	0	20260617112819_InitialBaseline	A098368C30CD77FAAC228B6F2DF88C5B84D44A4067158ED441FEF6C62F123E09	A098368C30CD77FAAC228B6F2DF88C5B84D44A4067158ED441FEF6C62F123E09	NOT_APPLICABLE	EXECUTED
2	ef	0	20260617113126_AuditAppendOnlyTriggers	4157061CC53C31D11F1A056767D3EB29EE442DC1F4386A844A29FCB213382CB1	4157061CC53C31D11F1A056767D3EB29EE442DC1F4386A844A29FCB213382CB1	NOT_APPLICABLE	EXECUTED
3	ef	0	20260623120620_SourceSystemActiveDefault	3A10CFF12A028363D86EAEDC14F11C7E3298E8CE10E23A6B8E567222CA4A7862	3A10CFF12A028363D86EAEDC14F11C7E3298E8CE10E23A6B8E567222CA4A7862	NOT_APPLICABLE	EXECUTED
4	ef	0	20260802210601_AddDowntimeQuantities	CE1AA6612B67C8CE81491B67252921A8AF43ADAA860ACD37C2A7B8E478E18EED	CE1AA6612B67C8CE81491B67252921A8AF43ADAA860ACD37C2A7B8E478E18EED	NOT_APPLICABLE	EXECUTED
5	ef	0	20260816112200_T044R1MigrationParity	D3160AB62E47CDDBBA2DA5C09BBFFD5CD160D9A7BD32943A2D76900577C8840A	D3160AB62E47CDDBBA2DA5C09BBFFD5CD160D9A7BD32943A2D76900577C8840A	NOT_APPLICABLE	EXECUTED
6	ef	0	20260817082208_T064JobTargetDefinitionParity	0233327254243B30EDF9A2B8C42163FC6F2EC3473992A0C9439AB2A7E212441B	0233327254243B30EDF9A2B8C42163FC6F2EC3473992A0C9439AB2A7E212441B	NOT_APPLICABLE	EXECUTED
7	ef	0	20260817154438_T064TargetParametersParity	31799DE8348F4F1A1A89F66130732D9F167BDEDF58E45DBB7F1983DDDAE1FA60	31799DE8348F4F1A1A89F66130732D9F167BDEDF58E45DBB7F1983DDDAE1FA60	NOT_APPLICABLE	EXECUTED
8	ef	0	20260828083224_StorageTopologyCheckpoint	E7940BE2BE27C2D7F28395C50D888C278AE9BD6A796C65492FE0A8E3E59238BA	E7940BE2BE27C2D7F28395C50D888C278AE9BD6A796C65492FE0A8E3E59238BA	NOT_APPLICABLE	EXECUTED
9	scripts	1	Backend/database/scripts/000_schema_migrations_watermark.sql	F85FA6FB06D66C9C0F46E09FCD94D007A25B87308E375A843979748BA75D103C	F85FA6FB06D66C9C0F46E09FCD94D007A25B87308E375A843979748BA75D103C	MATCH	EXECUTED
10	scripts	2	Backend/database/scripts/000_schemas.sql	5DEEE2605ABA3F6D04FAA0CBF6BA1476E71738751755D452561BBCFD2F6B9B53	5DEEE2605ABA3F6D04FAA0CBF6BA1476E71738751755D452561BBCFD2F6B9B53	MATCH	EXECUTED
11	scripts	3	Backend/database/scripts/050_dashboard_phase8_9_10_indexes.sql	6B7A541F579A6E85BE55D82BEC1117E7A2AD9D26D2C54FB77F0ECE4B10EAF97D	6B7A541F579A6E85BE55D82BEC1117E7A2AD9D26D2C54FB77F0ECE4B10EAF97D	MATCH	EXECUTED
12	scripts	4	Backend/database/scripts/060_phase_8_9_dashboard_materialized_views.sql	382A9D482DF3AE7F4275BA9FCAF72C807D22C3D817B373858A63988533AF5C60	382A9D482DF3AE7F4275BA9FCAF72C807D22C3D817B373858A63988533AF5C60	MATCH	EXECUTED
13	scripts	5	Backend/database/scripts/095_create_runtime_app_role_admin_only.sql	B12184218C4EA21F9B25AA225177733C6A3A226A8A2C1C82FE663333FD8F9302	B12184218C4EA21F9B25AA225177733C6A3A226A8A2C1C82FE663333FD8F9302	MATCH	EXECUTED
14	scripts	6	Backend/database/scripts/096_harden_audit_log_immutability.sql	40FBCE0D185926B1A676D24641466BC539FAA8228C4B9D6A8B53D2B6FA0D3DB4	40FBCE0D185926B1A676D24641466BC539FAA8228C4B9D6A8B53D2B6FA0D3DB4	MATCH	EXECUTED
15	scripts	7	Backend/database/scripts/113_phase1_widget_script_layer.sql	B20FE82065430BA52C910C188ACB88059B14673252EE1D2F585BCA3468258F8D	B20FE82065430BA52C910C188ACB88059B14673252EE1D2F585BCA3468258F8D	MATCH	EXECUTED
