schema,object,ordinal,column,type,nullability,default_expression
dump_store,src_caster_oracle_shape_cast_pieces,1,piece_id,text,not_null,
dump_store,src_caster_oracle_shape_cast_pieces,10,length_mm,"numeric(12,2)",nullable,
dump_store,src_caster_oracle_shape_cast_pieces,11,weight_kg,"numeric(14,3)",nullable,
dump_store,src_caster_oracle_shape_cast_pieces,12,mould_level_avg,"numeric(10,4)",nullable,
dump_store,src_caster_oracle_shape_cast_pieces,13,casting_speed_avg,"numeric(10,4)",nullable,
dump_store,src_caster_oracle_shape_cast_pieces,14,superheat_c,"numeric(10,4)",nullable,
dump_store,src_caster_oracle_shape_cast_pieces,15,last_update_ts,timestamp with time zone,not_null,now()
dump_store,src_caster_oracle_shape_cast_pieces,2,heat_no,text,not_null,
dump_store,src_caster_oracle_shape_cast_pieces,3,sequence_no,text,not_null,
dump_store,src_caster_oracle_shape_cast_pieces,4,caster_id,text,not_null,
dump_store,src_caster_oracle_shape_cast_pieces,5,strand_no,integer,not_null,
dump_store,src_caster_oracle_shape_cast_pieces,6,slab_no,integer,not_null,
dump_store,src_caster_oracle_shape_cast_pieces,7,cut_time,timestamp with time zone,not_null,
dump_store,src_caster_oracle_shape_cast_pieces,8,width_mm,"numeric(10,2)",nullable,
dump_store,src_caster_oracle_shape_cast_pieces,9,thickness_mm,"numeric(10,2)",nullable,
dump_store,src_caster_oracle_shape_cast_sequence,1,sequence_no,text,not_null,
dump_store,src_caster_oracle_shape_cast_sequence,2,caster_id,text,not_null,
dump_store,src_caster_oracle_shape_cast_sequence,3,tundish_no,text,nullable,
dump_store,src_caster_oracle_shape_cast_sequence,4,start_time,timestamp with time zone,not_null,
dump_store,src_caster_oracle_shape_cast_sequence,5,end_time,timestamp with time zone,nullable,
dump_store,src_caster_oracle_shape_cast_sequence,6,planned_grade,text,nullable,
dump_store,src_caster_oracle_shape_cast_sequence,7,actual_grade,text,nullable,
dump_store,src_caster_oracle_shape_cast_sequence,8,sequence_status,text,nullable,
dump_store,src_caster_oracle_shape_cast_sequence,9,last_update_ts,timestamp with time zone,not_null,now()
dump_store,src_hsm_oracle_shape_hsm_coils,1,coil_id,text,not_null,
dump_store,src_hsm_oracle_shape_hsm_coils,10,actual_ct_c,"numeric(8,2)",nullable,
dump_store,src_hsm_oracle_shape_hsm_coils,11,target_thickness_mm,"numeric(10,4)",nullable,
dump_store,src_hsm_oracle_shape_hsm_coils,12,actual_thickness_mm,"numeric(10,4)",nullable,
dump_store,src_hsm_oracle_shape_hsm_coils,13,target_width_mm,"numeric(10,2)",nullable,
dump_store,src_hsm_oracle_shape_hsm_coils,14,actual_width_mm,"numeric(10,2)",nullable,
dump_store,src_hsm_oracle_shape_hsm_coils,15,coil_weight_kg,"numeric(14,3)",nullable,
dump_store,src_hsm_oracle_shape_hsm_coils,16,last_update_ts,timestamp with time zone,not_null,now()
dump_store,src_hsm_oracle_shape_hsm_coils,2,input_piece_id,text,not_null,
dump_store,src_hsm_oracle_shape_hsm_coils,3,heat_no,text,nullable,
dump_store,src_hsm_oracle_shape_hsm_coils,4,mill_line,text,not_null,
dump_store,src_hsm_oracle_shape_hsm_coils,5,rolling_start_time,timestamp with time zone,not_null,
dump_store,src_hsm_oracle_shape_hsm_coils,6,rolling_end_time,timestamp with time zone,nullable,
dump_store,src_hsm_oracle_shape_hsm_coils,7,target_fdt_c,"numeric(8,2)",nullable,
dump_store,src_hsm_oracle_shape_hsm_coils,8,actual_fdt_c,"numeric(8,2)",nullable,
dump_store,src_hsm_oracle_shape_hsm_coils,9,target_ct_c,"numeric(8,2)",nullable,
dump_store,src_hsm_oracle_shape_hsm_pass_measurements,1,measurement_id,bigint,not_null,nextval('src_hsm_oracle_shape.hsm_pass_measurements_measurement_id_seq'::regclass)
dump_store,src_hsm_oracle_shape_hsm_pass_measurements,2,coil_id,text,not_null,
dump_store,src_hsm_oracle_shape_hsm_pass_measurements,3,stand_no,integer,not_null,
dump_store,src_hsm_oracle_shape_hsm_pass_measurements,4,sample_time,timestamp with time zone,not_null,
dump_store,src_hsm_oracle_shape_hsm_pass_measurements,5,rolling_force_kn,"numeric(14,3)",nullable,
dump_store,src_hsm_oracle_shape_hsm_pass_measurements,6,roll_gap_mm,"numeric(12,5)",nullable,
dump_store,src_hsm_oracle_shape_hsm_pass_measurements,7,speed_mps,"numeric(12,5)",nullable,
dump_store,src_hsm_oracle_shape_hsm_pass_measurements,8,temperature_c,"numeric(8,2)",nullable,
dump_store,src_hsm_oracle_shape_hsm_pass_measurements,9,last_update_ts,timestamp with time zone,not_null,now()
dump_store,src_inspection_mysql_shape_downtime_events,1,downtime_id,bigint,not_null,nextval('src_inspection_mysql_shape.downtime_events_downtime_id_seq'::regclass)
dump_store,src_inspection_mysql_shape_downtime_events,10,updated_at_utc,timestamp with time zone,not_null,now()
dump_store,src_inspection_mysql_shape_downtime_events,2,equipment_code,text,not_null,
dump_store,src_inspection_mysql_shape_downtime_events,3,source_line,text,not_null,
dump_store,src_inspection_mysql_shape_downtime_events,4,reason_code,text,not_null,
dump_store,src_inspection_mysql_shape_downtime_events,5,reason_text,text,nullable,
dump_store,src_inspection_mysql_shape_downtime_events,6,downtime_category,text,nullable,
dump_store,src_inspection_mysql_shape_downtime_events,7,start_time_utc,timestamp with time zone,not_null,
dump_store,src_inspection_mysql_shape_downtime_events,8,end_time_utc,timestamp with time zone,nullable,
dump_store,src_inspection_mysql_shape_downtime_events,9,duration_seconds,integer,nullable,
dump_store,src_inspection_mysql_shape_parsytec_surface_defects,1,defect_row_id,bigint,not_null,nextval('src_inspection_mysql_shape.parsytec_surface_defects_defect_row_id_seq'::regclass)
dump_store,src_inspection_mysql_shape_parsytec_surface_defects,10,position_end_m,"numeric(14,3)",nullable,
dump_store,src_inspection_mysql_shape_parsytec_surface_defects,11,width_position_mm,"numeric(14,3)",nullable,
dump_store,src_inspection_mysql_shape_parsytec_surface_defects,12,confidence_pct,"numeric(8,4)",nullable,
dump_store,src_inspection_mysql_shape_parsytec_surface_defects,13,event_time_utc,timestamp with time zone,not_null,
dump_store,src_inspection_mysql_shape_parsytec_surface_defects,14,updated_at_utc,timestamp with time zone,not_null,now()
dump_store,src_inspection_mysql_shape_parsytec_surface_defects,2,coil_id,text,not_null,
dump_store,src_inspection_mysql_shape_parsytec_surface_defects,3,inspection_device,text,not_null,
dump_store,src_inspection_mysql_shape_parsytec_surface_defects,4,defect_code,text,not_null,
dump_store,src_inspection_mysql_shape_parsytec_surface_defects,5,defect_name,text,nullable,
dump_store,src_inspection_mysql_shape_parsytec_surface_defects,6,defect_class,text,nullable,
dump_store,src_inspection_mysql_shape_parsytec_surface_defects,7,defect_severity,text,nullable,
dump_store,src_inspection_mysql_shape_parsytec_surface_defects,8,side_code,text,nullable,
dump_store,src_inspection_mysql_shape_parsytec_surface_defects,9,position_start_m,"numeric(14,3)",nullable,
dump_store,src_meltshop_pg_heats,1,heat_no,text,not_null,
dump_store,src_meltshop_pg_heats,10,actual_temp_c,"numeric(8,2)",nullable,
dump_store,src_meltshop_pg_heats,11,oxygen_nm3,"numeric(14,3)",nullable,
dump_store,src_meltshop_pg_heats,12,power_kwh,"numeric(14,3)",nullable,
dump_store,src_meltshop_pg_heats,13,carbon_pct,"numeric(8,5)",nullable,
dump_store,src_meltshop_pg_heats,14,manganese_pct,"numeric(8,5)",nullable,
dump_store,src_meltshop_pg_heats,15,silicon_pct,"numeric(8,5)",nullable,
dump_store,src_meltshop_pg_heats,16,source_updated_at_utc,timestamp with time zone,not_null,now()
dump_store,src_meltshop_pg_heats,2,plant_code,text,not_null,
dump_store,src_meltshop_pg_heats,3,furnace_code,text,not_null,
dump_store,src_meltshop_pg_heats,4,steel_grade,text,not_null,
dump_store,src_meltshop_pg_heats,5,route_code,text,not_null,
dump_store,src_meltshop_pg_heats,6,tap_start_utc,timestamp with time zone,not_null,
dump_store,src_meltshop_pg_heats,7,tap_end_utc,timestamp with time zone,nullable,
dump_store,src_meltshop_pg_heats,8,heat_weight_ton,"numeric(12,3)",nullable,
dump_store,src_meltshop_pg_heats,9,target_temp_c,"numeric(8,2)",nullable,
dump_store,src_meltshop_pg_lf_treatment,1,treatment_id,bigint,not_null,nextval('src_meltshop_pg.lf_treatment_treatment_id_seq'::regclass)
dump_store,src_meltshop_pg_lf_treatment,10,source_updated_at_utc,timestamp with time zone,not_null,now()
dump_store,src_meltshop_pg_lf_treatment,2,heat_no,text,not_null,
dump_store,src_meltshop_pg_lf_treatment,3,lf_code,text,not_null,
dump_store,src_meltshop_pg_lf_treatment,4,treatment_start_utc,timestamp with time zone,not_null,
