schema,object,constraint,referenced_schema,referenced_object,definition
ppiq_meta,analysis_details,fk_analysis_details_version,ppiq_meta,definition_versions,FOREIGN KEY (definition_version_id) REFERENCES ppiq_meta.definition_versions(id) ON DELETE CASCADE
ppiq_meta,analysis_grain_definitions,fk_analysis_grain_definition,ppiq_meta,definition_store,FOREIGN KEY (identity_definition_id) REFERENCES ppiq_meta.definition_store(id) ON DELETE RESTRICT
ppiq_meta,analysis_grain_definitions,fk_analysis_grain_definition_version,ppiq_meta,definition_versions,"FOREIGN KEY (identity_definition_id, identity_definition_version) REFERENCES ppiq_meta.definition_versions(definition_id, version_number) ON DELETE RESTRICT"
ppiq_meta,analysis_grain_definitions,fk_analysis_grain_tenant,ppiq_meta,tenants,FOREIGN KEY (tenant_id) REFERENCES ppiq_meta.tenants(id) ON DELETE RESTRICT
ppiq_meta,app_users,app_users_tenant_id_fkey,ppiq_meta,tenants,FOREIGN KEY (tenant_id) REFERENCES ppiq_meta.tenants(id)
ppiq_meta,auth_refresh_tokens,auth_refresh_tokens_tenant_id_fkey,ppiq_meta,tenants,FOREIGN KEY (tenant_id) REFERENCES ppiq_meta.tenants(id) ON DELETE CASCADE
ppiq_meta,auth_refresh_tokens,auth_refresh_tokens_user_id_fkey,ppiq_meta,app_users,FOREIGN KEY (user_id) REFERENCES ppiq_meta.app_users(id) ON DELETE CASCADE
ppiq_meta,connection_profiles,fk_connection_profiles_source_system_definitions_source_system,ppiq_meta,source_system_definitions,FOREIGN KEY (source_system_definition_id) REFERENCES ppiq_meta.source_system_definitions(id) ON DELETE RESTRICT
ppiq_meta,customer_assessment_versions,fk_customer_assessment_versions_assessment,ppiq_meta,customer_assessments,FOREIGN KEY (assessment_id) REFERENCES ppiq_meta.customer_assessments(assessment_id)
ppiq_meta,dashboard_widget_definitions,fk_dashboard_widget_definitions_dashboard_definitions_dashboar,ppiq_meta,dashboard_definitions,FOREIGN KEY (dashboard_definition_id) REFERENCES ppiq_meta.dashboard_definitions(id) ON DELETE CASCADE
