schema,object,kind,logical_family,lifecycle,owner,purpose,creator_authority,primary_key,retention,rls,rls_forced,policy_count,naming,compatibility_state,classified_by
dump_store,src_caster_oracle_shape_cast_pieces,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (piece_id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
dump_store,src_caster_oracle_shape_cast_sequence,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (sequence_no),UNCLASSIFIED,off,not_forced,0,conforming,none,none
dump_store,src_hsm_oracle_shape_hsm_coils,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (coil_id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
dump_store,src_hsm_oracle_shape_hsm_pass_measurements,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (measurement_id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
dump_store,src_inspection_mysql_shape_downtime_events,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (downtime_id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
dump_store,src_inspection_mysql_shape_parsytec_surface_defects,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (defect_row_id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
dump_store,src_meltshop_pg_heats,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (heat_no),UNCLASSIFIED,off,not_forced,0,conforming,none,none
dump_store,src_meltshop_pg_lf_treatment,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (treatment_id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
dump_store,src_pkl_mssql_shape_pickle_orders,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (order_id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
dump_store,src_pkl_mssql_shape_qa_lab_results,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (lab_result_id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
public,__EFMigrationsHistory,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (migration_id),UNCLASSIFIED,off,not_forced,0,nonconforming,none,none
public,areas,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
