schema,object,kind,logical_family,lifecycle,owner,purpose,creator_authority,primary_key,retention,rls,rls_forced,policy_count,naming,compatibility_state,classified_by
canon,vw_kpi_data_coverage_completeness,view,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,,UNCLASSIFIED,off,not_forced,0,conforming,none,none
canon,vw_kpi_defect_escape_rate,view,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,,UNCLASSIFIED,off,not_forced,0,conforming,none,none
canon,vw_kpi_first_pass_quality_yield,view,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,,UNCLASSIFIED,off,not_forced,0,conforming,none,none
canon,vw_kpi_production_impact_minutes,view,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,,UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,aggregation_kinds,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (aggregation_kind),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,alert_rules,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/730_alert_rules_and_plant_data_log.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,analysis_details,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (definition_version_id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,analysis_grain_definitions,table,definition-authority,current,Worker 1,,Backend/database/scripts/835_analysis_subject_grain_authority.sql,PRIMARY KEY (id),permanent,off,not_forced,0,conforming,none,rule
ppiq_meta,app_users,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/301_p01_p02_authstore_compatibility_bridge.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,assistant_audit_log,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,assistant_chunk,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,assistant_embedding_provider_config,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,"PRIMARY KEY (tenant_id, provider_key)",UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,assistant_eval_case,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,assistant_index_run,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,assistant_retrieval_index_job,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,audit_log_entries,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,auth_refresh_tokens,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/301_p01_p02_authstore_compatibility_bridge.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,canonical_schema_view_audit,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/120_phase02_canonical_schema_mapping_engine.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,canonical_schema_views,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/120_phase02_canonical_schema_mapping_engine.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,connection_profiles,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,cost_assumption,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,cost_assumption_audit,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,customer_assessment_versions,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/833_customer_assessment_history.sql,PRIMARY KEY (assessment_version_id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,customer_assessments,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/833_customer_assessment_history.sql,PRIMARY KEY (assessment_id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,dashboard_definitions,table,definition-authority,current,Worker 1,,UNKNOWN,PRIMARY KEY (id),permanent,off,not_forced,0,conforming,none,rule
ppiq_meta,dashboard_widget_definitions,table,definition-authority,current,Worker 1,,UNKNOWN,PRIMARY KEY (id),permanent,off,not_forced,0,conforming,none,rule
ppiq_meta,dashboard_widget_expression_audit,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/117_phase8_widget_script_layer_entity_mapping.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,defect_catalogs,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,definition_dependencies,table,definition-authority,current,Worker 1,,Backend/database/scripts/831_definition_store.sql,PRIMARY KEY (id),permanent,off,not_forced,0,conforming,none,rule
ppiq_meta,definition_export_artifacts,table,definition-authority,current,Worker 1,,UNKNOWN,PRIMARY KEY (id),permanent,off,not_forced,0,conforming,none,rule
ppiq_meta,definition_store,table,definition-authority,current,Worker 1,,Backend/database/scripts/831_definition_store.sql,PRIMARY KEY (id),permanent,off,not_forced,0,conforming,none,rule
ppiq_meta,definition_versions,table,definition-authority,current,Worker 1,,Backend/database/scripts/831_definition_store.sql,PRIMARY KEY (id),permanent,off,not_forced,0,conforming,none,rule
ppiq_meta,demo_genealogy_acceptance_spine,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (material_code),UNCLASSIFIED,off,not_forced,0,conforming,none,none
