"RelativePath","Category","CategoryTitle","Classification","Extension","Lines","SizeBytes","SizeKB","LastWriteTime"
"Backend\PlantProcess.Api\Analytics\KpiEvaluationService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","133","6910","6.75","6/2/2026 1:31:41 PM"
"Backend\PlantProcess.Api\appsettings.Development.json","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".json","55","1612","1.57","6/1/2026 10:55:46 PM"
"Backend\PlantProcess.Api\appsettings.json","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".json","30","773","0.75","5/31/2026 12:06:13 AM"
"Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","654","24158","23.59","6/3/2026 2:04:24 PM"
"Backend\PlantProcess.Api\AssistantGateway\V5PrivateModelGatewayCertificationEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","786","30870","30.15","6/3/2026 4:24:00 PM"
"Backend\PlantProcess.Api\BlendedProvenance\V5BlendedProvenanceEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","142","5145","5.02","6/3/2026 2:27:20 PM"
"Backend\PlantProcess.Api\ComplianceControls\V5ComplianceControlsEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","487","17091","16.69","6/3/2026 3:22:42 PM"
"Backend\PlantProcess.Api\Configuration\StartupConfigurationValidator.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","435","16478","16.09","5/31/2026 11:30:39 AM"
"Backend\PlantProcess.Api\DeploymentPortability\V5DeploymentPortabilityEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","272","10894","10.64","6/3/2026 3:22:40 PM"
"Backend\PlantProcess.Api\Dockerfile","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source","","34","1230","1.2","5/22/2026 1:27:50 AM"
"Backend\PlantProcess.Api\Endpoints\Admin\AdminEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","578","24295","23.73","5/19/2026 10:32:07 AM"
"Backend\PlantProcess.Api\Endpoints\Admin\AdminProofEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","71","2679","2.62","5/31/2026 8:49:27 AM"
"Backend\PlantProcess.Api\Endpoints\Admin\ConnectorAdminEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","229","8997","8.79","6/3/2026 7:54:00 AM"
"Backend\PlantProcess.Api\Endpoints\Admin\GenericSchemaMappingEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","1388","50712","49.52","6/3/2026 7:54:00 AM"
