"RelativePath","Category","CategoryTitle","Classification","Extension","Lines","SizeBytes","SizeKB","LastWriteTime"
"Backend\PlantProcess.Api\appsettings.Development.json","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".json","55","1522","1.49","5/19/2026 9:54:54 AM"
"Backend\PlantProcess.Api\appsettings.json","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".json","24","583","0.57","5/19/2026 9:54:43 AM"
"Backend\PlantProcess.Api\Configuration\StartupConfigurationValidator.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","285","10706","10.46","5/19/2026 11:12:43 AM"
"Backend\PlantProcess.Api\Dockerfile","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source","","33","1032","1.01","5/19/2026 2:08:59 PM"
"Backend\PlantProcess.Api\Endpoints\Admin\AdminEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","578","24295","23.73","5/19/2026 10:32:07 AM"
"Backend\PlantProcess.Api\Endpoints\Admin\ConnectorAdminEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","268","10849","10.59","5/21/2026 1:08:33 PM"
"Backend\PlantProcess.Api\Endpoints\Admin\JobAdminEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","212","8415","8.22","5/19/2026 10:02:29 AM"
"Backend\PlantProcess.Api\Endpoints\Admin\SchemaConfigurationEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","484","16952","16.55","5/19/2026 10:31:39 AM"
"Backend\PlantProcess.Api\Endpoints\Analytics\CorrelationEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","667","25250","24.66","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Api\Endpoints\Analytics\FeatureEngineeringEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","28","909","0.89","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Api\Endpoints\Analytics\RiskScoreEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Endpoint",".cs","246","9175","8.96","5/19/2026 12:19:14 AM"
