"RelativePath","Kind","SizeKB","LastWriteTime"
"deploy\_legacy_consolidated_20260604_115150\deploy\Caddyfile","CADDY","0.19","2026-06-02 16:39:46"
"deploy\_legacy_consolidated_20260604_115150\deployment\caddy\Caddyfile","CADDY","2.12","2026-06-02 15:34:09"
"deploy\caddy\Caddyfile","CADDY","0.19","2026-06-02 16:39:46"
"deploy\airgap\docker-compose.airgap.yml","COMPOSE","1.46","2026-06-03 15:22:43"
"deploy\demo-sources\docker-compose.demo-sources.yml","COMPOSE","4.57","2026-06-02 15:55:12"
"deploy\local\docker-compose.local-db.yml","COMPOSE","0.67","2026-06-04 10:40:12"
"deploy\server\docker-compose.demo.yml","COMPOSE","0.38","2026-06-02 16:39:47"
"deploy\_legacy_consolidated_20260604_115150\deployment\caddy\README.md","DOC","0.47","2026-05-25 13:52:36"
"deploy\airgap\SIZING_TIERS.md","DOC","0.49","2026-06-03 15:22:44"
"deploy\caddy\README.md","DOC","0.2","2026-06-04 13:23:43"
"deploy\ci\README.md","DOC","0.17","2026-06-04 13:23:43"
"deploy\demo-sources\README.md","DOC","0.28","2026-06-04 13:23:42"
"deploy\dr\RPO_RTO_RUNBOOK.md","DOC","0.72","2026-06-03 15:25:42"
"deploy\local\README.md","DOC","0.35","2026-06-04 13:23:42"
"deploy\README.md","DOC","0.83","2026-06-04 11:51:55"
"deploy\server\README.md","DOC","2.73","2026-05-31 10:08:38"
"deploy\_legacy_consolidated_20260604_115150\deploy\jenkins\Dockerfile","DOCKERFILE","0.78","2026-05-19 15:49:34"
"deploy\_legacy_consolidated_20260604_115150\deploy\.env","ENV_TEMPLATE_OR_ENV","4.88","2026-05-30 08:56:45"
"deploy\server\.env.example","ENV_TEMPLATE_OR_ENV","3.32","2026-06-01 14:56:04"
"deploy\server\.env.production","ENV_TEMPLATE_OR_ENV","3.98","2026-06-01 14:56:05"
"deploy\_legacy_consolidated_20260604_115150\deploy\postgres\init\01-create-databases.sh","OTHER","0.53","2026-05-19 14:08:35"
"deploy\_legacy_consolidated_20260604_115150\deploy\storybook.caddy.snippet","OTHER","0.89","2026-05-30 10:16:06"
"deploy\_legacy_consolidated_20260604_115150\deploy\verify-server-exposure.sh","OTHER","1","2026-05-31 11:30:39"
"deploy\_legacy_consolidated_20260604_115150\deployment-caddy-Caddyfile","OTHER","2.12","2026-06-02 15:34:09"
"deploy\airgap\IMAGE_MANIFEST.lock","OTHER","0.26","2026-06-03 15:22:44"
"deploy\ci\Jenkinsfile","OTHER","10.73","2026-06-01 00:10:39"
"deploy\dr\ha-reference-compose.yml","OTHER","0.9","2026-06-03 15:22:45"
"deploy\export\open-format-manifest.schema.json","OTHER","0.97","2026-06-03 15:25:42"
"deploy\identity\keycloak-reference-compose.yml","OTHER","0.33","2026-06-03 16:04:09"
"deploy\server\apply-server-db-scripts.sh","OTHER","1.23","2026-05-31 11:07:49"
"deploy\server\rotate-postgres-password.sh","OTHER","0.74","2026-05-31 11:30:39"
"deploy\airgap\egress-deny-test.ps1","SCRIPT","0.41","2026-06-03 15:22:44"
"deploy\airgap\install-airgap.ps1","SCRIPT","0.66","2026-06-03 15:22:44"
"deploy\airgap\preflight-airgap.ps1","SCRIPT","0.7","2026-06-03 15:22:44"
"deploy\dr\backup.ps1","SCRIPT","0.78","2026-06-03 15:22:45"
"deploy\dr\restore.ps1","SCRIPT","0.41","2026-06-03 15:22:45"
"deploy\export\export-open-format.ps1","SCRIPT","1.15","2026-06-03 15:25:42"
