"Key","Status","Evidence"
"ASPNETCORE_ENVIRONMENT","OK","Key exists in deploy/server/.env.example."
"ASPNETCORE_URLS","OK","Key exists in deploy/server/.env.example."
"ConnectionStrings__PlantProcessDb","OK","Key exists in deploy/server/.env.example."
"ConnectionStrings__WebsiteDb","OK","Key exists in deploy/server/.env.example."
"PlantProcess__Auth__BootstrapAdminPassword","OK","Key exists in deploy/server/.env.example."
"PlantProcess__Auth__RefreshTokenDays","OK","Key exists in deploy/server/.env.example."
"PlantProcess__Auth__SigningKey","OK","Key exists in deploy/server/.env.example."
"PLANTPROCESS_ALLOWED_ORIGINS","OK","Key exists in deploy/server/.env.example."
"POSTGRES_APP_DB","OK","Key exists in deploy/server/.env.example."
"POSTGRES_HOST","OK","Key exists in deploy/server/.env.example."
"POSTGRES_PASSWORD","OK","Key exists in deploy/server/.env.example."
"POSTGRES_PORT","OK","Key exists in deploy/server/.env.example."
"POSTGRES_USER","OK","Key exists in deploy/server/.env.example."
"PPIQ_BOOTSTRAP_ADMIN_PASSWORD","OK","Key exists in deploy/server/.env.example."
"PPIQ_BOOTSTRAP_ADMIN_USER","OK","Key exists in deploy/server/.env.example."
"PPIQ_SMOKE_PASSWORD","OK","Key exists in deploy/server/.env.example."
"PPIQ_SMOKE_USERNAME","OK","Key exists in deploy/server/.env.example."
"VITE_API_BASE_URL","OK","Key exists in deploy/server/.env.example."
