"Key","Status","Evidence"
"ASPNETCORE_ENVIRONMENT","OK","Key exists."
"ASPNETCORE_URLS","OK","Key exists."
"COMPOSE_PROJECT_NAME","OK","Key exists."
"ConnectionStrings__PlantProcessDb","OK","Key exists."
"ConnectionStrings__WebsiteDb","OK","Key exists."
"DOTNET_ENVIRONMENT","OK","Key exists."
"PlantProcess__Auth__BootstrapAdminPassword","OK","Key exists."
"PlantProcess__Auth__RefreshTokenDays","OK","Key exists."
"PlantProcess__Auth__SigningKey","OK","Key exists."
"PLANTPROCESS_ALLOWED_ORIGINS","OK","Key exists."
"POSTGRES_APP_DB","OK","Key exists."
"POSTGRES_HOST","OK","Key exists."
"POSTGRES_PASSWORD","OK","Key exists."
"POSTGRES_PORT","OK","Key exists."
"POSTGRES_USER","OK","Key exists."
"PPIQ_BOOTSTRAP_ADMIN_PASSWORD","OK","Key exists."
"PPIQ_BOOTSTRAP_ADMIN_USER","OK","Key exists."
"PPIQ_IMAGE_TAG","OK","Key exists."
"PPIQ_SMOKE_PASSWORD","OK","Key exists."
"PPIQ_SMOKE_USERNAME","OK","Key exists."
"VITE_API_BASE_URL","OK","Key exists."
"VITE_WEBSITE_API_BASE_URL","OK","Key exists."
