"RelativePath","ItemType","FileCount","SizeKB","ArchivePath","Reason"
"tools\p00","Directory","30","179.46","C:\Workspace\PlantProcess-IQ_Archive\S2B_Batch4B_HistoricalTools_20260604_120332\tools\p00","Historical implementation pack archived from active repo."
"tools\p01p02","Directory","3","20.52","C:\Workspace\PlantProcess-IQ_Archive\S2B_Batch4B_HistoricalTools_20260604_120332\tools\p01p02","Historical implementation pack archived from active repo."
"tools\p03p04","Directory","2","49.79","C:\Workspace\PlantProcess-IQ_Archive\S2B_Batch4B_HistoricalTools_20260604_120332\tools\p03p04","Historical implementation pack archived from active repo."
"tools\phase1","Directory","12","136.94","C:\Workspace\PlantProcess-IQ_Archive\S2B_Batch4B_HistoricalTools_20260604_120332\tools\phase1","Historical implementation pack archived from active repo."
"tools\phase12","Directory","5","52.53","C:\Workspace\PlantProcess-IQ_Archive\S2B_Batch4B_HistoricalTools_20260604_120332\tools\phase12","Historical implementation pack archived from active repo."
"tools\phase2","Directory","3","161.74","C:\Workspace\PlantProcess-IQ_Archive\S2B_Batch4B_HistoricalTools_20260604_120332\tools\phase2","Historical implementation pack archived from active repo."
"tools\phase23","Directory","10","67.67","C:\Workspace\PlantProcess-IQ_Archive\S2B_Batch4B_HistoricalTools_20260604_120332\tools\phase23","Historical implementation pack archived from active repo."
"tools\phase25","Directory","16","198.68","C:\Workspace\PlantProcess-IQ_Archive\S2B_Batch4B_HistoricalTools_20260604_120332\tools\phase25","Historical implementation pack archived from active repo."
"tools\phase45","Directory","10","119.1","C:\Workspace\PlantProcess-IQ_Archive\S2B_Batch4B_HistoricalTools_20260604_120332\tools\phase45","Historical implementation pack archived from active repo."
"tools\phase78","Directory","5","125.7","C:\Workspace\PlantProcess-IQ_Archive\S2B_Batch4B_HistoricalTools_20260604_120332\tools\phase78","Historical implementation pack archived from active repo."
"tools\v5","Directory","87","291.39","C:\Workspace\PlantProcess-IQ_Archive\S2B_Batch4B_HistoricalTools_20260604_120332\tools\v5","Historical implementation pack archived from active repo."
