"Fingerprint","RelativePath","LineNumber","Category","RiskLevel","RefactorTrack","Evidence","Status"
"2002BFB1AE3ED7FC","Backend\PlantProcess.Api\Analytics\KpiEvaluationService.cs","27","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using (var cmd = _ds.CreateCommand(","REMAINING_IN_API"
"16CB9BA8402CF3C5","Backend\PlantProcess.Api\Analytics\KpiEvaluationService.cs","45","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using (var cmd = _ds.CreateCommand(","REMAINING_IN_API"
"E595890E7513CF65","Backend\PlantProcess.Api\Analytics\KpiEvaluationService.cs","67","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using var cmd = _ds.CreateCommand(sql);","REMAINING_IN_API"
"C748A3B91A819E21","Backend\PlantProcess.Api\Analytics\KpiEvaluationService.cs","79","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using (var cmd = _ds.CreateCommand(","REMAINING_IN_API"
"966E084C65DA907F","Backend\PlantProcess.Api\Analytics\KpiEvaluationService.cs","103","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using var cmd = _ds.CreateCommand(","REMAINING_IN_API"
"A577FEEACDC6E34A","Backend\PlantProcess.Api\Endpoints\Analytics\AdvancedResultsEndpoints.cs","31","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using var rc = ds.CreateCommand(","REMAINING_IN_API"
"E3D6C79E2D7FE67D","Backend\PlantProcess.Api\Endpoints\Analytics\AdvancedResultsEndpoints.cs","108","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using var cmd = ds.CreateCommand(sql);","REMAINING_IN_API"
"B28D2A428CBFDF17","Backend\PlantProcess.Api\Endpoints\Analytics\KpiEvaluationEndpoints.cs","62","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using var cmd = ds.CreateCommand(","REMAINING_IN_API"
"1FA0DA9403DE9067","Backend\PlantProcess.Api\Endpoints\Analytics\KpiEvaluationEndpoints.cs","88","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using (var deact = ds.CreateCommand(","REMAINING_IN_API"
"3D13114B66E43319","Backend\PlantProcess.Api\Endpoints\Analytics\KpiEvaluationEndpoints.cs","95","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using (var ins = ds.CreateCommand(","REMAINING_IN_API"
"F3775A08C119A11D","Backend\PlantProcess.Api\Endpoints\Analytics\KpiEvaluationEndpoints.cs","115","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using var cmd = ds.CreateCommand(","REMAINING_IN_API"
"38404EA5F179F9F9","Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","278","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using var command = connection.CreateCommand();","REMAINING_IN_API"
"A6827D3CCDE0310C","Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","317","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using var command = connection.CreateCommand();","REMAINING_IN_API"
"5471F647DD7B5234","Backend\PlantProcess.Api\Endpoints\Analytics\MlLearningEndpoints.cs","245","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using var command = connection.CreateCommand();","REMAINING_IN_API"
"0C3704BF4C5192F0","Backend\PlantProcess.Api\Endpoints\Analytics\Phase2InvestigationEndpoints.cs","149","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using var command = connection.CreateCommand();","REMAINING_IN_API"
"001325ED821EBE14","Backend\PlantProcess.Api\Endpoints\Analytics\Phase2InvestigationEndpoints.cs","199","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using var command = connection.CreateCommand();","REMAINING_IN_API"
"0FBD22ECBD96059E","Backend\PlantProcess.Api\Endpoints\Analytics\Phase2InvestigationEndpoints.cs","294","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using var command = connection.CreateCommand();","REMAINING_IN_API"
"B202AADB61261B06","Backend\PlantProcess.Api\Endpoints\Analytics\ProvenanceGuardedAdvancedResultsEndpoints.cs","27","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using (var cmd = ds.CreateCommand(","REMAINING_IN_API"
"AD3373500F7F40BD","Backend\PlantProcess.Api\Endpoints\Analytics\ReadModelEndpoints.cs","65","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using var cmd = ds.CreateCommand(sql);","REMAINING_IN_API"
"41E6D2E6C1F25E9C","Backend\PlantProcess.Api\Endpoints\Analytics\SimpleAnalysisEndpoints.cs","108","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","AnalyticsAndKpiRuntime","await using var cmd = ds.CreateCommand(sql);","REMAINING_IN_API"
"F42D319A9DB78F37","Backend\PlantProcess.Api\Endpoints\Analytics\KpiEvaluationEndpoints.cs","89","SQL_TEXT_INSIDE_API_SURFACE","HIGH_WRITE_OR_DDL_REVIEW","AnalyticsAndKpiRuntime","""UPDATE kpi_targets SET is_active = false, updated_at_utc = now() WHERE tenant_id = @t AND kpi_code = @c AND is_active = true""))","REMAINING_IN_API"
"8C7B083AE43B0436","Backend\PlantProcess.Api\Endpoints\Analytics\KpiEvaluationEndpoints.cs","96","SQL_TEXT_INSIDE_API_SURFACE","HIGH_WRITE_OR_DDL_REVIEW","AnalyticsAndKpiRuntime","""INSERT INTO kpi_targets (tenant_id, kpi_code, target_value, alert_direction, warning_at, critical_at, unit) "" +","REMAINING_IN_API"
"0C6708A63F9A8ED8","Backend\PlantProcess.Api\Endpoints\Analytics\Phase2InvestigationEndpoints.cs","61","SQL_TEXT_INSIDE_API_SURFACE","HIGH_WRITE_OR_DDL_REVIEW","AnalyticsAndKpiRuntime","INSERT INTO public.inspection_jobs","REMAINING_IN_API"
"2C67F85C20894AFF","Backend\PlantProcess.Api\Endpoints\Analytics\Phase2InvestigationEndpoints.cs","358","SQL_TEXT_INSIDE_API_SURFACE","HIGH_WRITE_OR_DDL_REVIEW","AnalyticsAndKpiRuntime","INSERT INTO public.ml_job_lifecycle_states","REMAINING_IN_API"
"0CD0EBC5BD442FC2","Backend\PlantProcess.Api\Endpoints\Analytics\Phase2InvestigationEndpoints.cs","396","SQL_TEXT_INSIDE_API_SURFACE","HIGH_WRITE_OR_DDL_REVIEW","AnalyticsAndKpiRuntime","DO UPDATE SET","REMAINING_IN_API"
"9D9F0BD398D9E2A5","Backend\PlantProcess.Api\Endpoints\Analytics\Phase2InvestigationEndpoints.cs","59","EF_RAW_SQL_IN_API","MEDIUM_EF_RAW_SQL","AnalyticsAndKpiRuntime","await dbContext.Database.ExecuteSqlRawAsync(","REMAINING_IN_API"
"D9ADC64F235BE3F4","Backend\PlantProcess.Api\Endpoints\Analytics\Phase2InvestigationEndpoints.cs","356","EF_RAW_SQL_IN_API","MEDIUM_EF_RAW_SQL","AnalyticsAndKpiRuntime","await dbContext.Database.ExecuteSqlRawAsync(","REMAINING_IN_API"
"B87B58698D450831","Backend\PlantProcess.Api\Endpoints\Dashboarding\DashboardEndpoints.cs","411","EF_RAW_SQL_IN_API","MEDIUM_EF_RAW_SQL","AnalyticsAndKpiRuntime","await dbContext.Database.ExecuteSqlRawAsync(","REMAINING_IN_API"
"6C9AF6E78B0936BD","Backend\PlantProcess.Api\Analytics\KpiEvaluationService.cs","32","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await using var r = await cmd.ExecuteReaderAsync(ct);","REMAINING_IN_API"
"C89A78DD4134695F","Backend\PlantProcess.Api\Analytics\KpiEvaluationService.cs","49","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await using var r = await cmd.ExecuteReaderAsync(ct);","REMAINING_IN_API"
"DD8F8B46665E4EAA","Backend\PlantProcess.Api\Analytics\KpiEvaluationService.cs","69","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","var scalar = await cmd.ExecuteScalarAsync(ct);","REMAINING_IN_API"
"03ADC7BCED7F1198","Backend\PlantProcess.Api\Analytics\KpiEvaluationService.cs","86","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await using var r = await cmd.ExecuteReaderAsync(ct);","REMAINING_IN_API"
"C94B21F24E4C9E45","Backend\PlantProcess.Api\Analytics\KpiEvaluationService.cs","112","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await cmd.ExecuteNonQueryAsync(ct);","REMAINING_IN_API"
"4AE1B579A8878D1A","Backend\PlantProcess.Api\Endpoints\Analytics\AdvancedResultsEndpoints.cs","23","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT id, engine_key, target_outcome_key, grain, window_days, status, completed_at_utc, duration_ms, message "" +","REMAINING_IN_API"
"2C67D1E2005661D1","Backend\PlantProcess.Api\Endpoints\Analytics\AdvancedResultsEndpoints.cs","32","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT id FROM public.ml_correlation_compute_runs WHERE engine_key IN ('dotnet-analytics-core-v1','managed-stat-v1') "" +","REMAINING_IN_API"
"D8C36E15F1642514","Backend\PlantProcess.Api\Endpoints\Analytics\AdvancedResultsEndpoints.cs","36","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","if (await rc.ExecuteScalarAsync(ct) is Guid g) resolvedRun = g;","REMAINING_IN_API"
"A24620509DD9BE69","Backend\PlantProcess.Api\Endpoints\Analytics\AdvancedResultsEndpoints.cs","42","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT r.feature_key, r.feature_grain, r.outcome_key, r.outcome_type, r.method, "" +","REMAINING_IN_API"
"63DF5F08E78C581E","Backend\PlantProcess.Api\Endpoints\Analytics\AdvancedResultsEndpoints.cs","110","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await using var reader = await cmd.ExecuteReaderAsync(ct);","REMAINING_IN_API"
