"Fingerprint","RelativePath","LineNumber","Category","RiskLevel","RefactorTrack","Evidence","Status"
"EDE9B39012525479","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","326","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","CanonicalDataAndIntegrationRuntime","await using var tenantCmd = connection.CreateCommand();","REMAINING_IN_API"
"C61504C2AAB165EF","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","331","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","CanonicalDataAndIntegrationRuntime","await using var cmd = connection.CreateCommand();","REMAINING_IN_API"
"4A354EA6C5261F6D","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","406","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","CanonicalDataAndIntegrationRuntime","await using var tenantCmd = connection.CreateCommand();","REMAINING_IN_API"
"B18350664AD49691","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","411","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","CanonicalDataAndIntegrationRuntime","await using var cmd = connection.CreateCommand();","REMAINING_IN_API"
"78E63ED11E4F6D79","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","545","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","CanonicalDataAndIntegrationRuntime","await using var tenantCmd = connection.CreateCommand();","REMAINING_IN_API"
"C8B85647FDD1AD6D","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","550","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","CanonicalDataAndIntegrationRuntime","await using var cmd = connection.CreateCommand();","REMAINING_IN_API"
"8DF8BD3047283EFB","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","606","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","CanonicalDataAndIntegrationRuntime","await using var tenantCmd = connection.CreateCommand();","REMAINING_IN_API"
"FA99AFD71AB7FE20","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","611","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","CanonicalDataAndIntegrationRuntime","await using var cmd = connection.CreateCommand();","REMAINING_IN_API"
"E078C52E842E284C","Backend\PlantProcess.Api\AssistantGateway\V5PrivateModelGatewayCertificationEndpoints.cs","132","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","CanonicalDataAndIntegrationRuntime","await using var cmd = connection.CreateCommand();","REMAINING_IN_API"
"EC4508BF700616C0","Backend\PlantProcess.Api\AssistantGateway\V5PrivateModelGatewayCertificationEndpoints.cs","194","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","CanonicalDataAndIntegrationRuntime","await using var cmd = connection.CreateCommand();","REMAINING_IN_API"
"84A91ECB8E937A15","Backend\PlantProcess.Api\AssistantGateway\V5PrivateModelGatewayCertificationEndpoints.cs","297","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","CanonicalDataAndIntegrationRuntime","await using var cmd = connection.CreateCommand();","REMAINING_IN_API"
"AF497EACF4E1E88D","Backend\PlantProcess.Api\AssistantGateway\V5PrivateModelGatewayCertificationEndpoints.cs","377","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","CanonicalDataAndIntegrationRuntime","await using var cmd = connection.CreateCommand();","REMAINING_IN_API"
"46DDC67E1618E950","Backend\PlantProcess.Api\AssistantGateway\V5PrivateModelGatewayCertificationEndpoints.cs","544","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","CanonicalDataAndIntegrationRuntime","await using var cmd = connection.CreateCommand();","REMAINING_IN_API"
"158AB42A18042943","Backend\PlantProcess.Api\AssistantGateway\V5PrivateModelGatewayCertificationEndpoints.cs","628","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","CanonicalDataAndIntegrationRuntime","await using var cmd = connection.CreateCommand();","REMAINING_IN_API"
"C50348F8E15A4EEF","Backend\PlantProcess.Api\AssistantGateway\V5PrivateModelGatewayCertificationEndpoints.cs","662","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","CanonicalDataAndIntegrationRuntime","await using var cmd = connection.CreateCommand();","REMAINING_IN_API"
"7296E94F498A8A65","Backend\PlantProcess.Api\AssistantGateway\V5PrivateModelGatewayCertificationEndpoints.cs","755","DIRECT_NPGSQL_IN_API","HIGH_DIRECT_API_DB_ACCESS","CanonicalDataAndIntegrationRuntime","await using var cmd = connection.CreateCommand();","REMAINING_IN_API"
