task,file,line,page,implementation,labelText,intendedAction,currentStyle,wiredHandler,context,standardStatus,migrationCandidate
PPIQ-T009,src/App.tsx,259,Unknown,native <button>,Retry connection,secondary,inline-style,retryBootstrap,Unknown,non-standard,yes
PPIQ-T009,src/components/ActiveFilterChips.tsx,49,Component:ActiveFilterChips.tsx,native <button>,Remove filter,destructive,className,() => clearFilter(key),Component:ActiveFilterChips.tsx,non-standard,yes
PPIQ-T009,src/components/AppLayout.tsx,159,Component:AppLayout.tsx,native <button>,"`Switch to ${isDark ? ""light"" : ""dark""",action,className,toggleTheme,Component:AppLayout.tsx,non-standard,yes
PPIQ-T009,src/components/AppLayout.tsx,190,Component:AppLayout.tsx,native <button>,Logout,action,inline-style,logout,Component:AppLayout.tsx,non-standard,yes
PPIQ-T009,src/components/brand/AppCommandHeader.tsx,56,Component:brand,native <button>,Notifications,display-or-dead-review,className,null,Component:brand,non-standard,yes
PPIQ-T009,src/components/brand/AppCommandHeader.tsx,61,Component:brand,native <button>,User menu,display-or-dead-review,className,null,Component:brand,non-standard,yes
PPIQ-T009,src/components/brand/BrandProofPanel.tsx,53,Component:brand,native <a>,Engineer brief,navigation,not-detected,/brand/plantprocess-iq-engineer-brief.html,Component:brand,non-standard,yes
PPIQ-T009,src/components/brand/BrandProofPanel.tsx,57,Component:brand,native <a>,Architecture diagram,navigation,not-detected,/brand/plantprocess-iq-architecture.svg,Component:brand,non-standard,yes
PPIQ-T009,src/components/brand/ProductBrand.tsx,15,Component:brand,native <a>,PlantProcess IQ dashboard,navigation,className,/dashboard,Component:brand,non-standard,yes
PPIQ-T009,src/components/brand/SOUBrand.tsx,15,Component:brand,native <a>,SOU PlantProcess IQ home,navigation,className,/,Component:brand,non-standard,yes
PPIQ-T009,src/components/BrandProofSection.tsx,44,Component:BrandProofSection.tsx,native <a>,Open diagram,navigation,not-detected,/brand/plantprocess-iq-architecture.svg,Component:BrandProofSection.tsx,non-standard,yes
PPIQ-T009,src/components/BrandProofSection.tsx,53,Component:BrandProofSection.tsx,native <a>,Open brief,navigation,not-detected,/brand/plantprocess-iq-engineer-brief.html,Component:BrandProofSection.tsx,non-standard,yes
PPIQ-T009,src/components/charts/InteractiveCharts.tsx,407,Component:charts,native <button>,`${x,action,inline-style,() => selectCell(row),Component:charts,non-standard,yes
PPIQ-T009,src/components/dashboard/DashboardWidgetCard.tsx,178,Component:dashboard,native <button>,`Switch to ${ct,action,className,"() => setWidgetChartType(widgetId, ct)",Component:dashboard,non-standard,yes
PPIQ-T009,src/components/dashboard/DashboardWidgetCard.tsx,192,Component:dashboard,native <button>,Half-row width,action,className,"() =>
              activeChartType === ""table""
                ? compactWidget(String(widgetId))
                : expandWidgetToHalfRow(String(widgetId))",Component:dashboard,non-standard,yes
PPIQ-T009,src/components/dashboard/DashboardWidgetCard.tsx,207,Component:dashboard,native <button>,Full-row width,action,className,() => expandWidgetToFullRow(String(widgetId)),Component:dashboard,non-standard,yes
PPIQ-T009,src/components/dashboard/DashboardWidgetCard.tsx,218,Component:dashboard,native <button>,Compact size,action,className,() => compactWidget(String(widgetId)),Component:dashboard,non-standard,yes
PPIQ-T009,src/components/dashboard/DashboardWidgetCard.tsx,229,Component:dashboard,native <button>,Export CSV,export,className,exportCsv,Component:dashboard,non-standard,yes
PPIQ-T009,src/components/dashboard/DashboardWidgetCard.tsx,241,Component:dashboard,native <button>,"isCollapsed ? ""Expand widget"" : ""Collapse widget""",action,className,() => setIsCollapsed((v) => !v),Component:dashboard,non-standard,yes
PPIQ-T009,src/components/dashboard/DashboardWidgetCard.tsx,252,Component:dashboard,native <button>,"isFullscreen ? ""Exit fullscreen"" : ""Fullscreen""",action,className,() => setIsFullscreen((v) => !v),Component:dashboard,non-standard,yes
