task,file,line,page,currentImplementation,fieldType,labelText,intent,validationBehavior,errorState,helperTextSupport,labelPosition,requiredMarkerStyle,focusRing,standardStatus
PPIQ-T012,src/components/inspection/SaveInspectionJobModal.tsx,78,SaveInspectionJobModal,StandardInput,text,Name,data-entry,present,present,missing,above-field,required-marker,standard-css,standard
PPIQ-T012,src/components/inspection/SaveInspectionJobModal.tsx,80,SaveInspectionJobModal,StandardSelect,select,Schedule,data-entry,not-detected,missing,missing,above-field,not-required,standard-css,standard
PPIQ-T012,src/components/inspection/SaveInspectionJobModal.tsx,79,SaveInspectionJobModal,StandardTextArea,textarea,Description,data-entry,not-detected,missing,missing,above-field,not-required,standard-css,standard
PPIQ-T012,src/components/standard/DoDont.stories.tsx,27,DoDont.stories,StandardInput,search,Search material code,filter,not-detected,missing,missing,above-field,not-required,standard-css,standard
PPIQ-T012,src/components/standard/StandardFields.stories.tsx,24,StandardFields.stories,StandardInput,text,Connector name,data-entry,present,missing,missing,above-field,required-marker,standard-css,standard
PPIQ-T012,src/components/standard/StandardFields.stories.tsx,25,StandardFields.stories,StandardInput,search,Search material code,filter,not-detected,missing,present,above-field,not-required,standard-css,standard
PPIQ-T012,src/components/standard/StandardFields.stories.tsx,26,StandardFields.stories,StandardInput,text,Error example,data-entry,present,present,missing,above-field,required-marker,standard-css,standard
PPIQ-T012,src/components/standard/StandardFields.stories.tsx,27,StandardFields.stories,StandardInput,text,Loading example,data-entry,not-detected,missing,missing,above-field,not-required,standard-css,standard
PPIQ-T012,src/components/standard/StandardFields.stories.tsx,42,StandardFields.stories,StandardSelect,select,Process domain,filter,not-detected,missing,missing,above-field,not-required,standard-css,standard
PPIQ-T012,src/components/standard/StandardFields.stories.tsx,53,StandardFields.stories,StandardSelect,select,Multi-select domains,filter,not-detected,missing,missing,above-field,not-required,standard-css,standard
PPIQ-T012,src/components/standard/StandardFields.stories.tsx,75,StandardFields.stories,StandardTextArea,textarea,Investigation note,data-entry,not-detected,missing,present,above-field,not-required,standard-css,standard
PPIQ-T012,src/components/standard/StandardTable.implementation.tsx,282,StandardTable,StandardInput,search,UNLABELLED,filter,not-detected,missing,missing,placeholder-only-or-missing,not-required,standard-css,standard
PPIQ-T012,src/components/standard/StandardTable.implementation.tsx,452,StandardTable,StandardInput,number,UNLABELLED,data-entry,not-detected,missing,missing,placeholder-only-or-missing,not-required,standard-css,standard
PPIQ-T012,src/components/standard/StandardTable.implementation.tsx,299,StandardTable,StandardSelect,select,UNLABELLED,data-entry,not-detected,missing,missing,placeholder-only-or-missing,not-required,standard-css,standard
PPIQ-T012,src/components/standard/StandardTable.implementation.tsx,312,StandardTable,StandardSelect,select,UNLABELLED,data-entry,not-detected,missing,missing,placeholder-only-or-missing,not-required,standard-css,standard
PPIQ-T012,src/components/standard/StandardTable.implementation.tsx,429,StandardTable,StandardSelect,select,UNLABELLED,data-entry,not-detected,missing,missing,placeholder-only-or-missing,not-required,standard-css,standard
PPIQ-T012,src/pages/DemoAnalytics/DemoAnalyticsPages.implementation.tsx,289,DemoAnalyticsPages,StandardInput,text,Confirmation,data-entry,not-detected,missing,missing,above-field,not-required,standard-css,standard
PPIQ-T012,src/pages/DemoAnalytics/DemoAnalyticsPages.implementation.tsx,328,DemoAnalyticsPages,StandardInput,search,Suggestion material context,filter,not-detected,missing,missing,above-field,not-required,standard-css,standard
PPIQ-T012,src/pages/DemoAnalytics/DemoAnalyticsPages.implementation.tsx,455,DemoAnalyticsPages,StandardInput,text,Widget Query Expression,data-entry,not-detected,missing,missing,above-field,not-required,standard-css,standard
PPIQ-T012,src/pages/DemoAnalytics/DemoAnalyticsPages.implementation.tsx,279,DemoAnalyticsPages,StandardSelect,select,Reset scope,data-entry,not-detected,missing,missing,above-field,not-required,standard-css,standard
PPIQ-T012,src/pages/MaterialAnalytics/MaterialAnalyticsPages.runtime.generated.tsx,367,MaterialAnalyticsPages.runtime.generated,StandardInput,search,Search dashboard materials,filter,not-detected,missing,missing,above-field,not-required,standard-css,standard
PPIQ-T012,src/pages/MaterialAnalytics/MaterialAnalyticsPages.runtime.generated.tsx,491,MaterialAnalyticsPages.runtime.generated,StandardInput,search,Search material code,filter,not-detected,missing,missing,above-field,not-required,standard-css,standard
