task,file,line,page,implementation,dataSourceEndpoint,typicalRowCount,columns,features,stylingApproach,loadingState,emptyState,errorState,accessibilityProps,standardStatus,migrationCandidate
PPIQ-T010,src/components/dashboard/SavedDashboardWidget.tsx,189,Component:dashboard,native <table>,not-detected,unknown,not-detected,not-detected,not-detected,missing,missing,missing,missing,non-standard,P3
PPIQ-T010,src/components/dashboard/widget-builder/WidgetBuilderWizard.tsx,1465,Component:dashboard,native <table>,not-detected,unknown,not-detected,not-detected,not-detected,missing,missing,missing,missing,non-standard,P3
PPIQ-T010,src/components/dashboard/widget-builder/WidgetBuilderWizardContent.tsx,1661,Component:dashboard,native <table>,not-detected,unknown,not-detected,not-detected,not-detected,missing,missing,missing,missing,non-standard,P3
PPIQ-T010,src/components/SortableDataTable.tsx,101,Component:SortableDataTable.tsx,native <table>,not-detected,>500,not-detected,sort,inline-style,missing,present,missing,present,non-standard,P3
PPIQ-T010,src/components/standard/StandardTable.tsx,238,Component:standard,native <table>,not-detected,unknown,not-detected,density,className,missing,missing,missing,present,non-standard,P3
PPIQ-T010,src/components/standard/StandardTable.tsx,344,Component:standard,native <table>,not-detected,unknown,not-detected,sort|select|density|resize,inline-style,missing,missing,missing,present,non-standard,P3
PPIQ-T010,src/components/table/StandardTable.tsx,57,Component:table,native <table>,not-detected,unknown,not-detected,not-detected,inline-style,missing,missing,missing,missing,non-standard,P3
PPIQ-T010,src/pages/Admin/AdminDbConfigurationTab.tsx,220,Admin,native <table>,not-detected,unknown,not-detected,not-detected,not-detected,missing,missing,missing,missing,non-standard,P3
PPIQ-T010,src/pages/Admin/AdminDbConfigurationTab.tsx,308,Admin,native <table>,not-detected,unknown,not-detected,not-detected,inline-style,missing,missing,missing,missing,non-standard,P3
PPIQ-T010,src/pages/Admin/AdminDbConfigurationTab.tsx,938,Admin,native <table>,not-detected,unknown,not-detected,select,inline-style,missing,missing,missing,missing,non-standard,P3
PPIQ-T010,src/pages/Admin/AdminDbConfigurationTab.tsx,990,Admin,native <table>,not-detected,unknown,not-detected,not-detected,not-detected,missing,missing,missing,missing,non-standard,P3
PPIQ-T010,src/pages/Admin/AdminImportingDataTab.tsx,161,Admin,native <table>,not-detected,unknown,not-detected,not-detected,not-detected,missing,missing,missing,missing,non-standard,P3
PPIQ-T010,src/pages/Admin/AdminJobsMonitorTab.tsx,163,Admin,native <table>,not-detected,unknown,not-detected,sort,className,missing,missing,present,missing,non-standard,P3
