"File","Line","Note","Text"
"\Backend\PlantProcess.Api\Endpoints\Admin\GenericSchemaMappingEndpoints.cs","108","no tenant_id on this line - verify the surrounding query is tenant-scoped","FROM public.canonical_schema_views"
"\Backend\PlantProcess.Api\Endpoints\Admin\GenericSchemaMappingEndpoints.cs","218","no tenant_id on this line - verify the surrounding query is tenant-scoped","FROM public.canonical_schema_views"
"\Backend\PlantProcess.Api\Endpoints\Admin\GenericSchemaMappingEndpoints.cs","425","no tenant_id on this line - verify the surrounding query is tenant-scoped","FROM public.canonical_schema_views"
"\Backend\PlantProcess.Api\Endpoints\Admin\GenericSchemaMappingEndpoints.cs","457","no tenant_id on this line - verify the surrounding query is tenant-scoped","UPDATE public.canonical_schema_views"
"\Backend\PlantProcess.Api\Endpoints\Admin\GenericSchemaMappingEndpoints.cs","479","no tenant_id on this line - verify the surrounding query is tenant-scoped","UPDATE public.canonical_schema_views"
"\Backend\PlantProcess.Api\Endpoints\Admin\GenericSchemaMappingEndpoints.cs","578","no tenant_id on this line - verify the surrounding query is tenant-scoped","FROM public.canonical_schema_views;"
"\Backend\PlantProcess.Api\Endpoints\Admin\GenericSchemaMappingEndpoints.cs","1114","no tenant_id on this line - verify the surrounding query is tenant-scoped","FROM public.canonical_schema_views"
"\Backend\PlantProcess.Api\Endpoints\Admin\P03P04CompletionProofEndpoints.cs","30","no tenant_id on this line - verify the surrounding query is tenant-scoped","""SELECT * FROM public.ppiq_p03_p04_completion_status() ORDER BY gate_code;"","
"\Backend\PlantProcess.Api\Endpoints\Admin\P03P04CompletionProofEndpoints.cs","40","no tenant_id on this line - verify the surrounding query is tenant-scoped","""SELECT * FROM public.ppiq_validate_business_key_dictionary() ORDER BY severity, error_code, object_key;"","
"\Backend\PlantProcess.Api\Endpoints\Admin\P03P04CompletionProofEndpoints.cs","51","no tenant_id on this line - verify the surrounding query is tenant-scoped","""SELECT * FROM public.ppiq_resolve_safe_sql(@sql, @rowLimit, @timeoutMs);"","
