"onDemoPath","page","route","controlType","label","classification","handler","file","line"
"no","components/dashboard","(component)","StandardP2Select","(no label)","NO HANDLER","","Frontend\PlantProcess.Web\src\components\dashboard\DashboardWidgetCard.tsx","9"
"no","components/standard","(component)","anchor","(no label)","NO HANDLER","","Frontend\PlantProcess.Web\src\components\standard\StandardButton.tsx","136"
"no","components/standard","(component)","button","(no label)","NO HANDLER","","Frontend\PlantProcess.Web\src\components\standard\StandardPageCompat.tsx","23"
"no","components/standard","(component)","button",");","NO HANDLER","","Frontend\PlantProcess.Web\src\components\standard\StandardP2Controls.tsx","26"
"no","components/standard","(component)","input",");","NO HANDLER","","Frontend\PlantProcess.Web\src\components\standard\StandardP2Controls.tsx","41"
"no","components/standard","(component)","input","),","NO HANDLER","","Frontend\PlantProcess.Web\src\components\standard\StandardPageCompat.tsx","41"
"no","components/standard","(component)","select","(no label)","NO HANDLER","","Frontend\PlantProcess.Web\src\components\standard\StandardPageCompat.tsx","53"
"no","components/standard","(component)","select",");","NO HANDLER","","Frontend\PlantProcess.Web\src\components\standard\StandardP2Controls.tsx","53"
"no","components/standard","(component)","textarea",");","NO HANDLER","","Frontend\PlantProcess.Web\src\components\standard\StandardP2Controls.tsx","65"
"no","components/standard","(component)","textarea","),","NO HANDLER","","Frontend\PlantProcess.Web\src\components\standard\StandardPageCompat.tsx","67"
"no","pages/MaterialAnalytics","(component)","StandardButton","Export PDF","NO HANDLER","","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","490"
"no","pages/MaterialAnalytics","(component)","StandardButton","Run","NO HANDLER","","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","839"
"no","pages/MaterialAnalytics","(component)","StandardButton","Download report","NO HANDLER","","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","847"
"no","pages/MaterialAnalytics","(component)","StandardButton","Run","NO HANDLER","","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","901"
"no","pages/MaterialAnalytics","(component)","StandardButton","Preview SQL","NO HANDLER","","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","927"
"no","pages/MaterialAnalytics","(component)","StandardButton","Save view","NO HANDLER","","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","928"
"no","pages/MaterialAnalytics","(component)","StandardButton","Save KPI","NO HANDLER","","Frontend\PlantProcess.Web\src\pages\MaterialAnalytics\MaterialAnalyticsPages.tsx","940"
