"onDemoPath","route","page","controlType","label","classification","handler","file","line"
"YES","/connections","StandardButton","anchor","(no label)","NO HANDLER","","Frontend\PlantProcess.Web\src\components\standard\StandardButton.tsx","136"
"YES","/dashboard","DashboardWidgetCard","StandardP2Select","(no label)","NO HANDLER","","Frontend\PlantProcess.Web\src\components\dashboard\DashboardWidgetCard.tsx","9"
"YES","/investigate/analysis-jobs","StandardPageCompat","button","(no label)","NO HANDLER","","Frontend\PlantProcess.Web\src\components\standard\StandardPageCompat.tsx","23"
"YES","/investigate/analysis-jobs","StandardPageCompat","input","),","NO HANDLER","","Frontend\PlantProcess.Web\src\components\standard\StandardPageCompat.tsx","41"
"YES","/investigate/analysis-jobs","StandardPageCompat","select","(no label)","NO HANDLER","","Frontend\PlantProcess.Web\src\components\standard\StandardPageCompat.tsx","53"
"YES","/investigate/analysis-jobs","StandardPageCompat","textarea","),","NO HANDLER","","Frontend\PlantProcess.Web\src\components\standard\StandardPageCompat.tsx","67"
"YES","/materials/:materialUnitId","MaterialInvestigationPage","StandardButton","(no label)","NO HANDLER","","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","362"
"YES","/materials/:materialUnitId","MaterialInvestigationPage","StandardButton","(no label)","NO HANDLER","","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","419"
"YES","/advisory/roi-cfo-dashboard","RoiCfoDashboardPage","StandardButton","Export CFO evidence pack","HAS HANDLER","() => void exportEvidencePack()","Frontend\PlantProcess.Web\src\pages\Advisory\RoiCfoDashboardPage.tsx","108"
"YES","/alerting","AlertingPage","StandardButton","Run evaluation","HAS HANDLER","onEvaluate","Frontend\PlantProcess.Web\src\pages\DataIntegration\AlertingPage.tsx","146"
"YES","/alerting","AlertingPage","StandardButton","Add rule","HAS HANDLER","onCreate","Frontend\PlantProcess.Web\src\pages\DataIntegration\AlertingPage.tsx","196"
"YES","/analysis/toolbox","AnalysisToolboxPage","StandardP2Button","(no label)","HAS HANDLER","run","Frontend\PlantProcess.Web\src\pages\Analysis\AnalysisToolboxPage.tsx","154"
"YES","/analysis/toolbox","BlockNode","StandardP2Input",") : (","HAS HANDLER","(e) => data.onField?.(id, f.key, e.target.value)","Frontend\PlantProcess.Web\src\canvas\nodes\BlockNode.tsx","28"
"YES","/analysis/toolbox","BlockNode","StandardP2Select","(no label)","HAS HANDLER","(e) => data.onField?.(id, f.key, e.target.value)","Frontend\PlantProcess.Web\src\canvas\nodes\BlockNode.tsx","32"
"YES","/analytics-widgets","AdvancedResultPanel","StandardButton","View evidence (","HAS HANDLER","() => onOpenEvidence?.(result.evidenceHandle as ProvenanceHandleRef)","Frontend\PlantProcess.Web\src\components\analytics\AdvancedResultPanel.tsx","96"
"YES","/analytics-widgets","DataFetchBoundary","StandardButton","(no label)","HAS HANDLER","onRetry","Frontend\PlantProcess.Web\src\components\standard\DataFetchBoundary.tsx","77"
"YES","/assistant","AssistantChat","StandardButton","(no label)","HAS HANDLER","() => submit(s)","Frontend\PlantProcess.Web\src\components\assistant\AssistantChat.tsx","94"
"YES","/assistant","AssistantChat","StandardP2Input","Ask about your approved findings...","HAS HANDLER","(e) => setText(e.target.value)","Frontend\PlantProcess.Web\src\components\assistant\AssistantChat.tsx","101"
"YES","/assistant","AssistantChat","StandardButton","Ask","HAS HANDLER","() => submit(text)","Frontend\PlantProcess.Web\src\components\assistant\AssistantChat.tsx","112"
"YES","/assistant","AssistantChat","StandardButton","Source:","HAS HANDLER","() => { setOpenHandle(isOpen ? null : key); onOpenEvidence?.(h);","Frontend\PlantProcess.Web\src\components\assistant\AssistantChat.tsx","155"
"YES","/assistant/configuration","AssistantConfigurationPage","StandardP2Select","(no label)","HAS HANDLER","(event) => setConfig({ ...config, mode: event.target.value","Frontend\PlantProcess.Web\src\pages\Phase8\AssistantConfigurationPage.tsx","108"
"YES","/assistant/configuration","AssistantConfigurationPage","StandardP2Select","(no label)","HAS HANDLER","(event) => setConfig({ ...config, groundingPolicy: event.target.value","Frontend\PlantProcess.Web\src\pages\Phase8\AssistantConfigurationPage.tsx","117"
