"Dashboard","DashboardName","WidgetCode","WidgetTitle","ChartType","DimensionCode","MeasureCode","ParameterCode","HasSavedFilter","QueryExpression","RowCount","Outcome","Detail","Decision","DecidedBy"
"DATA_QUALITY","Data Quality","DQ_BY_SOURCE","Data Quality Issues by Source","bar","SourceSystem","DataQualityIssueCount",,"False",,"0","EMPTY","","",""
"DATA_QUALITY","Data Quality","DQ_BY_TYPE","Data Quality Issues by Type","bar","MaterialUnitType","DataQualityIssueCount",,"False",,"0","EMPTY","","",""
"EQUIPMENT_OPERATIONS","Equipment and Operations","EO_OBS","Observation Throughput","line","week","observationCount",,"False",,"0","EMPTY","","",""
"MATERIAL_INVESTIGATION_LAUNCHER","Material Investigation Launcher","INV_MATERIAL_BY_TYPE","Material Count by Type","bar","MaterialUnitType","MaterialCount",,"False",,"0","EMPTY","","",""
"PARAMETER_DEEP_ANALYSIS","Parameter Deep Analysis","PA_BYP","Observation Volume by Parameter","bar","parameterCode","observationCount",,"False",,"0","EMPTY","","",""
"PARAMETER_DEEP_ANALYSIS","Parameter Deep Analysis","PA_KOBS","Observations","kpi","day","observationCount","rolling.cooling_rate","False",,"0","EMPTY","","",""
"PARAMETER_DEEP_ANALYSIS","Parameter Deep Analysis","PA_TABLE","Observations by Parameter","table","parameterCode","observationCount",,"False",,"0","EMPTY","","",""
"PRODUCTION_OVERVIEW","Production Overview","PO_KPI_OBS","Process Observations","kpi","day","observationCount",,"False",,"0","EMPTY","","",""
"RISK_DASHBOARD","Risk Dashboard","RISK_BY_CLASS","Risk Score by Class","bar","RiskClass","RiskScore",,"False",,"0","EMPTY","","",""
"RISK_DASHBOARD","Risk Dashboard","RISK_BY_EQUIPMENT","Risk by Equipment","bar","Equipment","RiskScore",,"False",,"0","EMPTY","","",""
"CORRELATION_EXPLORER","Correlation Explorer","CORR_PARAMETER_AVG_BY_EQUIPMENT","Average Parameter Value by Equipment","bar","equipment","avgParameterValue","rolling.cooling_rate","False",,"1","OK","","",""
"CORRELATION_FINDINGS_BOARD","Correlation Findings Board","CF_RATE","Defect Rate Trend","line","day","defectRate",,"False",,"97","OK","","",""
"CORRELATION_FINDINGS_BOARD","Correlation Findings Board","CF_TOP","Defect Landscape","bar","defectType","defectCount",,"False",,"6","OK","","",""
"EQUIPMENT_OPERATIONS","Equipment and Operations","EO_EQDEF","Quality Events by Equipment","bar","equipment","defectCount",,"False",,"1","OK","","",""
"EQUIPMENT_OPERATIONS","Equipment and Operations","EO_MONTH","Monthly Volume","bar","month","materialCount",,"False",,"6","OK","","",""
"EQUIPMENT_OPERATIONS","Equipment and Operations","EO_TABLE","Materials by Equipment","table","equipment","materialCount",,"False",,"10","OK","","",""
"MODEL_INSIGHTS","Model Insights","MI_RATE","Model-Tracked Defect Rate","line","day","defectRate",,"False",,"97","OK","","",""
"MODEL_INSIGHTS","Model Insights","MI_SEV","Defect Mix by Material Type","donut","materialUnitType","defectCount",,"False",,"4","OK","","",""
"PARAMETER_DEEP_ANALYSIS","Parameter Deep Analysis","PA_KAVG","Average Value","kpi","day","avgParameterValue","rolling.cooling_rate","False",,"29","OK","","",""
"PARAMETER_DEEP_ANALYSIS","Parameter Deep Analysis","PA_TREND","Parameter Trend","line","day","avgParameterValue","rolling.cooling_rate","False",,"29","OK","","",""
"PRODUCTION_OVERVIEW","Production Overview","PO_KPI_DEF","Quality Events","kpi","day","defectCount",,"False",,"98","OK","","",""
"PRODUCTION_OVERVIEW","Production Overview","PO_KPI_MAT","Material Units","kpi","day","materialCount",,"False",,"97","OK","","",""
"PRODUCTION_OVERVIEW","Production Overview","PO_KPI_RATE","Defect Rate","kpi","day","defectRate",,"False",,"97","OK","","",""
